The Derek Trucks Band,blues;Southern Rock;allboutguitar;double-ender 9;hmm yeah;Man music;Soul Stax;Derek Trucks;gotcha;jamband;Jam;amazing;blues rock;rnb;gospel;soul;guitar,Soul Serenade/Rasta Man Chant,TRKKKQF128F425C106
Darren Hayes,pop;australian;male vocalists;mellow alternative;Mellow;songs I absolutely love;DAZS FAVOURITES;love song mix;clear love song lyrics;mello mix;soft ecclectic mix;ecclectic mellow mix;love songs with clear lyrics;alternative love song mix;crazyshitradio;mellonchollic romantic songs;melloncholly and romantic;weicheisongs;melloncholic mood;6th Avenue;fall 2006;private stashshsh;Coooooooooooooooooooool;lts;Astor Place;AV Closet;coolelyrics;music gems;electronic;electronica;sad;Favourite Songs;romantic;lonely;Dreamy;drunk;www;emotion;00's;random favorite songs;darren hayes;sense of humor;rock;rap;alternative;the tension and the spark;Hip-Hop;emo;new gay music;Tyler Adam;Nelson Clemente;the best eclectic tag ever - period - dec-05 top-30s;homosexual;electric;savage garden;elton john;scissor sisters,Sense Of Humor,TRKKKTM128F4282970
Big Mama Thornton,blues;female vocalists;double-ender 4;double-ender 11;soul;cool;drive;roots of rock;my zany zoo;fuck elvis;the REAL rhythm and blues root of rock n roll;Big Mama Thorton;rockitxten;rhythm and blues;Texas Blues;Leiber and Stoller,I Smell A Rat,TRKKKNE128F9310000
DJ Shog,,Jelousy,TRKKKAT128F92DCCA6
The Fontane Sisters,,The Howdy Doody Christmas,TRKKKHY128F42A7DE0
Barbara Dickson,female vocalists;Barbara Dickson,Hold On,TRKKKQZ128F92C1DAE
Plain White T's,indie;acoustic;rock;easy listening;emo;Love;comforting;favorites;give me chills;Slow Down;Plain White T's;realization;so sad;freshman year;s2;deep thoughts;radios in heaven;aiiight;piniwis;sing along with me;Plain White Ts - Radios in Heaven;aiights;natillita;me cago en las putas canciones tristes;Mellow;punk;Sleep;indie rock;sad;pop rock;depressing;death;My Favorites;nighttime;pop punk;poetic;alternative;pop;chill;plain white ts;YuM,Radios in Heaven,TRKKKLM128F4292258
Prinz Pi,,Heimlicher Abgang feat. E-Rich,TRKKKMT128F931F7EC
Los Player's,,Aunque Muera De Dolor,TRKKKLK128EF366A4C
Priessnitz,Love;Ballad;love song;rock ballad;alternative rock;melancholic;jeseniky,Sluníčko,TRKKKUZ128F424C706
Don Grusin,jazz,Kickin' Back,TRKKKOZ128F93081C3
Speech Defect,,I Wanna Do My Thing,TRKKKII12903CA32C0
The Chicharones,2005;do pozniejszego sprawdzenia;FiQ,Surf Rock,TRKKKBT128F930A988
The Imperials,,Beautiful Isle of Somewhere,TRKKKVP12903CBA4C8
The Freaks Union,,Almost Romantic,TRKKKAU128F92F3316
3-2 Get Funky,Reggaeton;cubanisimo,Bailen,TRKKKAJ128F1479408
Sister Vanilla,female vocal;alternative rock;rude words;the word go;the word what;the word around;tantotempotaste,What Goes Around,TRKKKRT128EF340DD9
k-os,Canadian;Hip-Hop;Good Hip Hop;shit is official;hip hop;summer;Canadian Hip-Hop;catchy as shit;uber;hiphop classics;music that fucking rocks;best ever;This is my theme song;possibly the hottest song ever;True Hip-Hop;music about music;clever sample usage;ooh my;howcouldunotlikeit;pow pow;sick beat;best beats ever;top quality;if only everyone knew;whadafac;love to death;rap favorites;just to remember;serious shit;my life soundtrack;Hell ya;favourite covers;grossartig;fucking fantastic;buyit;daaam;well produced;geiler shice;hey look its hip hop where people are actually trying;Underground Party;Ill Beat;sickk tune;heisse scheibe;ill track;that other shit;positive;Timeless HipHop;da real underground new skool hip hop;TRUE musical HIP HOP;woofer hissin;rrrrapp;rock rock to the planet rock;hip hop feinkost;underated;Bimmelmucke;scheisse FETT;Holy Crap Machine Gun Acid Flamethrowers with a Complimentary Flower Holder;fettttttttttttttt;Bomb;banger;headphone classic;Sunny weather;youthful;just plain brilliant;supah cool;awesome song title;i sing along to this;the shit I love;Guter Hip Hop;if you dont like this song then we just cant be friends;the strombo show;we are hip hop;phantom planet sample;intriguing name;Dope;best songs ever;legend;Favorite songs ever;good times;I Like It;Masterpiece;laidback;good shit;real hip hop;FUCKING AWESOME;perfect;good music;crazy;sick;happiness;California;genius;independent;feel good;amazing;Favorite;Favourites;favorites;Awesome;rap,I Wish I Knew Natalie Portman,TRKKKLT12903CF299C
Mr. Review,ska;ska punk;CurrentFavs;life OST,The Girl Is Money,TRKKKON128F14A3504
Hazel O'Connor,,Just Like a Woman - Live,TRKKKSE128F9344136
Bill Streett,,Concrescence,TRKKKER128EF3591C0
God Module,trance;industrial;progressive trance;ambient trance;dark electro;god module;electronic;techno;remember this;minemine;critty;Torquemada,Evolve,TRKKKGO128F9329C41
Patton Oswalt,comedy;standup comedy;good shit;humour;patton;pure haha;cleanthemuthafckinhouse;cleaninghouse,The World's Most Amazing Father,TRKKKUY128F4248290
Bill Anderson,country;classic country;good song;jo;gittis;thanksgiving;besta;Besto;bestallof;seebest,Po' Folks,TRKKKNL128F92E3791
Kermit Ruffins,,Chicken and Dumplings,TRKKKMK128F93365AD
黎明,,Yuan Lai Lian Ai,TRKKKWS128F148B4F8
Babes In Toyland,,We Are Family (Album version),TRKKKIQ128EF367653
Elvis Presley,christmas;xmas;Christmas Songs;holiday;rock;Elvis Presley;elvis;50s;rock n roll;oldies;classic rock;Rock and Roll;christmas classics;male vocalists;Christmas Music;holidays;Weihnachten;Rock  Roll;rockabilly;blues;classic Christmas;Jul;christmas oldies;x-mas;pop;blue;christmas cheese;christmastime;Christmas greatest Hits;rockin christmas;Oldie Christmas;Elvis Christmas;Christmas 2007;my christmas stuff;love lost;xxxmas;colors;soulful;favorites;double-ender xmas;christmas popular;Unser Silvester;Real Christmas;XMAS Blues  Jazz;christmasnostalgia;sexy devil;Do You Want The Truth Or Something Beautiful;mmt christmas;BunnyBlues;Chistmass;domillerp0;Radiotsar approved;santa is not real;hl christmas;christmas-v;classic holiday;x-mass;its christmas time;roxbury christmas;home for christmas;the big three;Spiked Eggnog;christophe christmas;flora xmas playlist;Video Elvis;i had this tape when i was little;a14;Christmasocious;lastfm neighborhood radio;Christmas 2008;kambojul;christmas elvis;det er jul;Christmas Scoot;frontloader;xmas best;Brems Tagg radio;gdg christmas;sainker xp;-3;miscellanea;helplessly singing along;Irgendwie und sowieso Filmmusik;dreams songs;xmasparty;christmas rotation;christmas modern classic;Christmas carols;christmas pop;cool christmas;favorite lyrics;christmas jazz;rock christmas;The King;deep voice;temp;1950s;close harmony;revival;male vocalist,Blue Christmas,TRKKKJP128F426416E
Pop Rivets,,2is2,TRKKKPR12903CF2D28
Kofi,,Never Gonna Keep Us Down,TRKKKYE128F421FA30
Screw 32,,Don't Let Them Take You Alive,TRKKKXH128F934BFBB
The Crazy World of Arthur Brown,,Swimfish,TRKKKPL128F935F1B9
Bob Dylan,folk;singer-songwriter;folk rock;rock;classic rock;acoustic;Dylan;70s;tender;Bob Dylan;melancholy;folk-rock;Love;Singer/Songwriter;heartbreak hotel;this is poetry;Favourites;Love it;classic;favorites;harmonica;title is a full sentence;lovely;1975;folkrock;the word you;loved at first listen;drink up;My pop music;breakup rock;retrowhimsy;check the bassline out;Baustar;personal classic;magnolia october;witty lyrics;downhome;bestival;rimbaud;cup of tea;songs I absolutely love;kicking it kickass old school;burninggoat;clear-eyed;oh god;freakey stylish;rest in peace dearest mother;sweet and happy and probably no;jason loves allison;double-ender 3;retrolove;Sesentayochistas;celeste nostalgia;elizabeth lester;texariox;elizabeth marie lester;LIKE BOB EVENTUALLY;breaks your heart;great song played at the right time;the word lonesome;first person songs;contraction songs;the word me;the word make;reminds me of zach;the word gonna;the word when;the word go;lust object;heart;great song;jangly;Sentimental;Bittersweet;songs;romance;perfect;goodbye;1970s;fav;music;sweet;amazing;beautiful;american;sad;alternative;cool;pop;indie;blues;sundaymusic;songs about love;blood on the tracks;The Truth;my soundtrack;affecting;My Heart;great rock albums;amour,You're Gonna Make Me Lonesome When You Go,TRKKKZX128F4266F79
Shola Ama,,Can't Have You - Album Version,TRKKKEX12903CCE686
Epsilon Minus,trance;psytrance;instrumental;industrial;ebm;industrial dance;get more;jennifer parkin;Sousaphonic AOTM 201102,No Future,TRKKKOS128F42423D3
Axel Krygier,Los Pericos,Autoerótico,TRKKKRH128EF35B7EC
Retsin,,The Good Lady Obscacle,TRKKKXE12903CB9413
Michael Allen Harrison,,Nocturne In D Flat Opus 97 No.1,TRKKKGY128F42766D4
PUZIQUe,psychedelic;electronica;trip-hop;experimental,Cissor,TRKKKYB128F4240D07
Wishbone Ash,classic rock;Progressive rock;rock;Wishbone Ash;hard rock;70s;guitar;oldies;Awesome;classic;Jazz Rock;rock ballads;best ever;All time best;Progressive;english rock;male vocalists;70s rock;good easy listening;british progressive rock;rock n roll;close harmony;1972;british hard rock;jazz;classic British rock;blues;Warrior;blues rock;Favourites;art rock;5 Star;heard live;70s heavy metal;telex;My Version of Melancholy;Faust;shinto;Quality stuff;alltimefavs;Pre-Power Metal;british heavy metal;Prog Related;wishbone ash warrior;70s british heavy metal;70s British Hard Rock;70s British Rock;Vige-Rock;early hard rock;puro surf;remember70;music for car driving;getting away with cheesy lyrics because the music delivers;Timeless Beauty;kentucky woman;drinking with friends;for loveless lonely nights;Classic British Hard Rock;british blues rock;Classic British Metal;better on vinyl;over 5 minutes long;nice;great;ballads;heavy metal;prog rock;favorites;beautiful;british;Good Stuff;early metal;British Metal;british rock;heavy rock;classic metal;wishbone ash - warrior;classic heavy metal;legends of rock;classic british heavy metal;acclaimed music top 3000;early heavy metal;guitar blues;proto metal;can;albums I own;70s hard rock;wow;classic hard rock;Traditional Metal;wicked shit;VICTORINO S MUSIC;best songs ever;songs;Wishbone Ash-Warrior;jtm-solo guitar;Binnekort in Mezz;Paganesimi pt 1;Zah;recos,Warrior,TRKKKZL128F428C599
P.K.14,title is a full sentence,some surprises come too soon,TRKKKMB12903CA4D73
Falsalarma,,QuE BuScAiS,TRKKKKE12903CD1527
Giant Sand,country;indie;alt country,Well Enough Alone,TRKKKAR128F932210F
Till Brönner,trumpet;instrumental;waltz;Seasonal,Auld Lang Syne,TRKKKSZ128F428459B
Lincoln Brewster,religious;christian blues;blues rock;eddie;Jana;Lincoln Brewster;-3,The Arms Of My Savior,TRKKKJN128F92DE4B8
Charles Brown,,Walk With Me,TRKKKZS12903CFD93B
Leona Lewis,OneRepublic;leona lewis;Love;soul;pop;beautiful;ryan tedder;produced by Ryan Tedder;rnb;amazing;female vocalists;#1;love at first listen,Lost Then Found,TRKKKWZ128F933D7FC
The Management,,What Do We Do On A Dew, Dew, Dewy Day,TRKKKQQ128F92EC58F
The Aces,,Shed Some Light On Me,TRKKKQW128F92FD83F
Djam Karet,Progressive rock,Scenes From the Electric Circus,TRKKZHX12903CAF47E
Seguridad Social,,Mª Manuela, Directo,TRKKZHH128F4297BA2
Jay Pérez,,Me & Mrs. Jones,TRKKZSH128F93353E4
Todd Agnew,ccm;christian rock;contemporary christian;christian;my fav;nn;cross2life,New Name,TRKKZZK128F92ECB38
Danny Breaks,Hip-Hop,Junkie for Beatz,TRKKZPU12903CBD3AD
Andrés Calamaro,,Uruguayo sin termo,TRKKZZC128F933DE82
Neil Diamond,rock;classic rock;pop;Favorite;70s;USA;Awesome;Good Stuff;adult contemporary;diamond;neil;The Late Show;cgs;diamond crunchy;oldies;breakfast,Crunchy Granola Suite,TRKKZOY128F4262A14
Toby Lightman,,Don't Let Go (Album Version),TRKKZFJ128F1480D95
Isobella,,Solstice,TRKKZZA128F9312E96
Max B & DJ Lazy K,,See Me Style,TRKKZFR128F9308F55
Andrés Calamaro,,Adentro Mío,TRKKZJC128F14802DC
Broken Spindles,audioase,Introvert,TRKKZZG128F932E9D6
Harry Belafonte,calypso;f;nice energy,Man Piaba,TRKKZBM12903D04A34
Tavares,,The Judgement Day (24-Bit Digitally Remastered 03),TRKKZCE12903CF7B77
Sator,,Rise Again,TRKKZEY128F147D96F
Latimore,soul;classic soul,Something 'Bout 'Cha,TRKKZQQ128E07841A0
Lo Fidelity Allstars,My Favorite Things,Deep ellum...Hold on,TRKKZFR12903CB0ED3
lymie,,For You,TRKKZZN128F931B916
Sha Na Na,xmas,An Angel For Christmas,TRKKZRK128F425D2AF
neville morrison,,Gimme That Feeling,TRKKZBE128F422EF44
Snog,,The Human Germ (Black Lung Greets the Brutal Gardener),TRKKZNA128F92D80E3
Margareth Menezes,brasil;brazil;mpb;brasileira;musica popular brasileira,Alegria da Cidade,TRKKZAU128F423E650
Potluck,,Mary Jane (features The Luniz),TRKKZEA128F42944D3
Georges Delerue,Soundtrack,Paris Montage,TRKKZXA128F92C8264
Chick Corea Elektric Band,Fusion;jazz;drjazzmrfunkmusic;funk;jazz fusion;jazz funk,Free Step,TRKKZKV128F149855A
Liv Kristine,female vocalists;Female fronted metal;liv kristine;My Favorites;female vocal;best song of liv featuring her husband;night;female gothic metal;norwegian;inspiring;featuring;spokojne;really fucking good;fajne;eternity and a day;me corto las venas o me las dejo largas;cant sleep;Transcendentic;feb 14;quoi;jlunare;tnphp numbers;mushashita cantarina;jlunarepowerful;metallis;chida41;liv kristine 3am;rock n roll;tranqui;female vocalist;cool;darkwave;female;live;beautiful;symphonic metal;Gothic Metal;metal;melodic metal;Gothic;chill;Power metal;Gothic Rock;blues;classic rock;trip-hop;english;dark electro;alternative;wishlist;electronic;Love;duo,3 am,TRKKZMK128F4257579
Denise LaSalle,soul;female vocalists;soul blues,Don't Pick It Up,TRKKZQA128F4254284
New Bruises,,The Hero, The Thief, And The Liability Of Getting Caught,TRKKZSY128F92E83AD
Odd Logic,,Bright Light,TRKKZHX128F425EAF7
The Psycho Realm,straight gangsta;Sickside Rap;sickbitch,The Crazy Area,TRKKZCW12903D01B95
Damien Rice,singer-songwriter;folk;acoustic;indie;irish;damien rice;Mellow;sad;alternative;Love;beautiful;Awesome;female vocalists;rock;Favourites;melancholy;favorites;melancholic;77davez-all-tracks;intense;pop;male vocalists;Great Lyricists;indie rock;Heartbreaking;favorite songs;rain;winter;romantic;powerful;depressing;folk-rock;alternative rock;singer songwriter;chillout;bitter;indie folk;soft;Soundtrack Of My Life;00s;raining;blue;Singer/Songwriter;heartache;memories;great song;Rainy Day;Sleep;guitar;nice;chill;epic;Favorite;lover;sanity;lovely;late at night;song for crying;emo;touching;emotional;Out Of My Mind;cried to;love at first sight;december;guitars;depressingly beautiful;sad love song;what you want;Your Mouth;SHOUTING;Dream;favourite;porn;Damien Rice - I Remember;city;Bonnaroo 2007;makes me cry;alone;soft rock;Favorite Artists;Love musick;female;emptiness;Without Me;voicescape;love hurts;I wanna hear;stain of my love;Acoustic Rock;want you here;atmospheric;this low;selfdestructive;without you;he;pretty;relaxing;tear forcer;rupe booka,I Remember,TRKKZMN128E0785B0D
Laurindo Almeida,,Dindi,TRKKZDN128F92E55AA
Thaddeus Hogarth,,Because My Baby Told Me So,TRKKZYA128F422FF9F
Monster Magnet,Stoner Rock;road rash;space rock;cool;stoner;stoner metal;grimdorf;pure rock fury;brainmelting;magick;psychadelic;Monster Magnet;Rock on;fave songs;radiohead;groovy;rock;metal,Dinosaur Vacume,TRKKZDY128E0792EAD
Lady of the Sunshine,folk;indie;australian;2k9 mix,The Wolf,TRKKZHQ128F930B47C
Polar,,El Perico,TRKKZRR128F92FE817
Alex Chilton,boogie woogie,Sick and Tired,TRKKZLG128F92F130F
Lyle Lovett,blues;country;jukey pick;spell it out for me;solx;class struggle;to classify;mio;groovie;midtempo;texas country;Love it;contemporary country;male vocals;singer songwriter;Alternative Country-Rock;alternative country;sad;cool;groovy;rock;singer-songwriter;money;country music;country and more,M-O-N-E-Y,TRKKZQA128F93247E2
Seelenzorn,german;Neue Deutsche Haerte,Zu spät für mich,TRKKZHG128F92F22B4
Babyface,rnb;new jack swing,Can't Stop My Heart,TRKKZDB128F426EB83
Steve Hill vs Technikal,,Voodoo,TRKKZZW128F93186FB
Strung Out,,Open Mic,TRKKZLE128F9343989
